Bus Number,Agency,Route,Bus Timing
BOOKINGAURBINDO,Prasanna Purple,R-5,"['08:30', '08:45', '09:00', '09:15', '09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
BOOKINGAURBINDOR5,Maa Associates Indore,M-24B,"['11:45', '12:15', '12:45', '13:00', '13:30', '14:15', '14:45', '15:15', '16:15', '17:30', '17:45', '18:30']"
BOOKINGAURBINDOR5,Maa Associates Indore,M-4,"['11:00', '12:30', '13:00', '13:15', '13:30', '13:45', '14:00', '14:45', '15:00', '15:15', '15:30', '16:00', '16:15', '16:45', '17:00', '18:15']"
BOOKINGAURBINDOR5,Maa Associates Indore,M-6,"['11:15', '11:45', '12:15', '12:30', '12:45', '13:00', '13:30', '14:15', '15:15', '15:30', '15:45', '16:00', '16:15', '16:45', '17:00', '17:45', '18:00', '18:30', '19:00', '19:30', '19:45', '20:00']"
BOOKINGAURBINDOR5,Maa Associates Indore,R-5,"['07:00', '07:15', '08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:45', '19:00', '19:15', '19:45']"
BOOKINGBHAWERKUA,Prasanna Purple,M-4,"['09:00', '09:30', '09:45', '10:15', '10:30', '10:45', '12:15', '13:00', '13:15', '13:30', '13:45', '14:00', '15:30', '17:30', '18:45']"
BOOKINGBHAWERKUA,Prasanna Purple,M-6,"['09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:30', '14:45', '15:00', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:15']"
BOOKINGBHAWERKUA,Prasanna Purple,R-5,"['09:00', '09:30', '09:45', '10:00', '10:15', '10:30', '11:15', '11:45', '13:45', '14:00', '14:30', '14:45', '15:00', '15:15', '15:30', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:45', '18:15']"
BOOKINGETIMR4,Maa Associates Indore,M-24B,"['10:15', '10:45', '11:00', '11:15', '12:00', '12:30', '12:45', '13:00', '13:15', '13:30', '14:15', '14:30', '14:45', '15:00', '15:15', '15:45', '16:00', '16:30', '16:45', '17:15', '17:45']"
BOOKINGETIMR4,Maa Associates Indore,M-4,"['10:30', '10:45', '11:00', '11:15', '11:45', '12:30', '12:45', '13:00', '13:15', '13:30', '14:00', '14:30', '14:45', '15:00', '15:30', '15:45', '16:15', '16:30', '16:45', '17:00', '17:30']"
BOOKINGETIMR4,Maa Associates Indore,M-6,"['12:00', '12:15', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '15:00', '15:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '20:00']"
BOOKINGETIMR4,Maa Associates Indore,R-5,"['07:45', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:45', '19:00', '19:15', '19:45', '20:30']"
BOOKINGR4,Maa Associates Indore,C-1,['10:45']
BOOKINGR4,Maa Associates Indore,M-24B,"['10:45', '11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:30', '17:45']"
BOOKINGR4,Maa Associates Indore,M-4,"['09:45', '10:30', '11:00', '11:15', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45', '20:00']"
BOOKINGR4,Maa Associates Indore,M-6,"['09:15', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45', '13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45', '20:00']"
