agency_id,route_id,route_long_name,route_short_name,route_type
3,2-1030,Chitragupta Square/Star Square-Tcs Square,N-13,3
3,2-1029,Bangali Rng-Medicaps Univercity,N-12,3
3,2-1028,Vijay Nagar-Apj,R-4,3
3,2-1027,Tejaji Nagar-Toll Naka,N-5,3
3,2-1026,Bhawarkua-Hatod Village,M-24B,3
3,2-1025,Rajwada Circle-Pulak City,M-18,3
3,2-1024,Khajrana Mandir-Sangam Nagar,M-15,3
3,2-1023,Laxmi Bai Railway Station-Choitram Ma,M-11,3
3,2-1022,Tejaji Ngr-Chota Bangarda,M-4,3
3,2-1021,Rajwada Circle-Tejaji Nagar,M-6,3
3,2-1020,Phoenix Mall-Rajwada,C-1,3
2,1-1019,Gangwal Bus Stand-Lakhani Bypass,M22 A,3
2,1-1018,Lakhani Bypass-Gangwal Bus Stand,M22 A,3
2,1-1017,Rajwada-Shiv Chowk,M-20,3
2,1-1016,Railway Station-Shiv Chowk,M-20,3
2,1-1015,Dewas Naka-Sirpur Lake,M-27,3
2,1-1014,Sirpur Lake-Dewas Naka,M-27,3
2,1-1013,Bhawar Kua-IIT Simrol ,M-19,3
2,1-1012,Railway Station-Toll Naka,M-17,3
2,1-1011,Tigariya Badshah-Shivalik Parishar,M-29,3
2,1-1010,Shivalik Parishar-Tigariya Badshah,M-29,3
2,1-1009,Railway Station-Sanwer,M-26,3
2,1-1008,Railway Station-Kshipra,M-26,3
2,1-1007,Railway Station-Khsipra,M-26,3
2,1-1006,Nipaniya-Rajwada,M-25,3
2,1-1005,Rajwada-Nipaniya,M-25,3
1,1-1004,Hawa Bangla-Vaishnav Collage,E5,3
1,1-1003,Teen Imli-Shiv City,E4,3
1,1-1002,Khajrana Ganesh Mandir-Hawa Bangla,E3,3
1,1-1001,Pitra Parwat-Cat,E1,3
