trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004001,6.00.00,1,6.00.00,0,1
1004001,6.07.00,2,6.07.00,0,2
1004001,6.09.00,3,6.09.00,0,3
1004001,6.11.00,4,6.11.00,0,4
1004001,6.15.00,5,6.15.00,0,5
1004001,6.19.00,6,6.19.00,0,6
1004001,6.21.00,7,6.21.00,0,7
1004001,6.25.00,8,6.25.00,0,8
1004001,6.29.00,9,6.29.00,0,9
1004001,6.32.00,10,6.32.00,0,10
1004001,6.34.00,11,6.34.00,0,11
1004001,6.36.00,12,6.36.00,0,12
1004001,6.37.00,13,6.37.00,0,13
1004001,6.39.00,14,6.39.00,0,14
1004001,6.43.00,15,6.43.00,0,15
1004001,6.45.00,16,6.45.00,0,16
1004001,6.47.00,17,6.47.00,0,17
1004001,6.48.00,18,6.48.00,0,18
1004001,6.49.00,19,6.49.00,0,19
1004001,6.51.00,20,6.51.00,0,20
1004001,6.53.00,21,6.53.00,0,21
1004001,6.55.00,22,6.55.00,0,22
1004001,6.59.00,23,6.59.00,0,23
1004001,7.02.00,24,7.02.00,0,24
1004001,7.05.00,25,7.05.00,0,25
1004001,7.07.00,26,7.07.00,0,26
1004001,7.11.00,27,7.11.00,0,27
1004001,7.14.00,28,7.14.00,0,28
1004003,6.13.00,1,6.13.00,0,1
1004003,6.20.00,2,6.20.00,0,2
1004003,6.22.00,3,6.22.00,0,3
1004003,6.24.00,4,6.24.00,0,4
1004003,6.28.00,5,6.28.00,0,5
1004003,6.32.00,6,6.32.00,0,6
1004003,6.34.00,7,6.34.00,0,7
1004003,6.38.00,8,6.38.00,0,8
1004003,6.42.00,9,6.42.00,0,9
1004003,6.45.00,10,6.45.00,0,10
1004003,6.47.00,11,6.47.00,0,11
1004003,6.49.00,12,6.49.00,0,12
1004003,6.50.00,13,6.50.00,0,13
1004003,6.52.00,14,6.52.00,0,14
1004003,6.56.00,15,6.56.00,0,15
1004003,6.58.00,16,6.58.00,0,16
1004003,7.00.00,17,7.00.00,0,17
1004003,7.01.00,18,7.01.00,0,18
1004003,7.02.00,19,7.02.00,0,19
1004003,7.04.00,20,7.04.00,0,20
1004003,7.06.00,21,7.06.00,0,21
1004003,7.08.00,22,7.08.00,0,22
1004003,7.12.00,23,7.12.00,0,23
1004003,7.15.00,24,7.15.00,0,24
1004003,7.18.00,25,7.18.00,0,25
1004003,7.20.00,26,7.20.00,0,26
1004003,7.24.00,27,7.24.00,0,27
1004003,7.27.00,28,7.27.00,0,28
1004002,7.20.00,1,7.20.00,0,28
1004002,7.23.00,2,7.23.00,0,27
1004002,7.27.00,3,7.27.00,0,26
1004002,7.29.00,4,7.29.00,0,25
1004002,7.32.00,5,7.32.00,0,24
1004002,7.35.00,6,7.35.00,0,23
1004002,7.39.00,7,7.39.00,0,22
1004002,7.41.00,8,7.41.00,0,21
1004002,7.43.00,9,7.43.00,0,20
1004002,7.45.00,10,7.45.00,0,19
1004002,7.46.00,11,7.46.00,0,18
1004002,7.47.00,12,7.47.00,0,17
1004002,7.49.00,13,7.49.00,0,16
1004002,7.51.00,14,7.51.00,0,15
1004002,7.55.00,15,7.55.00,0,14
1004002,7.57.00,16,7.57.00,0,13
1004002,7.58.00,17,7.58.00,0,12
1004002,8.00.00,18,8.00.00,0,11
1004002,8.02.00,19,8.02.00,0,10
1004002,8.05.00,20,8.05.00,0,9
1004002,8.09.00,21,8.09.00,0,8
1004002,8.13.00,22,8.13.00,0,7
1004002,8.15.00,23,8.15.00,0,6
1004002,8.19.00,24,8.19.00,0,5
1004002,8.23.00,25,8.23.00,0,4
1004002,8.25.00,26,8.25.00,0,3
1004002,8.27.00,27,8.27.00,0,2
1004002,8.34.00,28,8.34.00,0,1
1004004,8.40.00,1,8.40.00,0,1
1004004,8.47.00,2,8.47.00,0,2
1004004,8.49.00,3,8.49.00,0,3
1004004,8.51.00,4,8.51.00,0,4
1004004,8.55.00,5,8.55.00,0,5
1004004,8.59.00,6,8.59.00,0,6
1004004,9.01.00,7,9.01.00,0,7
1004004,9.05.00,8,9.05.00,0,8
1004004,9.09.00,9,9.09.00,0,9
1004004,9.12.00,10,9.12.00,0,10
1004004,9.14.00,11,9.14.00,0,11
1004004,9.16.00,12,9.16.00,0,12
1004004,9.17.00,13,9.17.00,0,13
1004004,9.19.00,14,9.19.00,0,14
1004004,9.23.00,15,9.23.00,0,15
1004004,9.25.00,16,9.25.00,0,16
1004004,9.27.00,17,9.27.00,0,17
1004004,9.28.00,18,9.28.00,0,18
1004004,9.29.00,19,9.29.00,0,19
1004004,9.31.00,20,9.31.00,0,20
1004004,9.33.00,21,9.33.00,0,21
1004004,9.35.00,22,9.35.00,0,22
