56 Dukan
9 Mil
Advanced Academy
Agarwal Public School
Agrashen Chauraha
Agrawal Toll Kanta
Ahilya Ashram
Airport
Airport Gate
Allahabad Bank
Amrapali Restaurant
Anand Bazar
Annapurna Nagar
Annapurna Temple
Anshal Town
Antim Chouraha
Anup Talkies
APJ Abdul Kalam University
Arjun Nagar
Arodrum Thana
Arvindo Hospital
Asharam Limbda Or Queens College
Ashram
Aurobindo
Babul Nagar
Bada Ganpati
Badwali Chowki
Bakery Gali
Balaji Enclave
Baneswari Kund
Bapat Chouraha
Bapat Square
Barsana Garden
BCM Heights
Bengali Chouraha
Best Price Square
Bhagirath
Bhairav Baba Mandir
Bhamori
Bhandhari Mill Agniban
Bharat Petrol Pump
Bhawani Nagar Or Super Coridor Bridge
Bhawar Kua
Bholaram Chouraha
Bicholi Mardana
Bijalpur
Bijasan
Bijasan Mata Mandir
Bima Hospital
Biyabani
Bkari Gali
Bombay Hospital
Brahman Pipliya
BSF Colony
Budhaniya
By Pass Center
Bypass
Casa Green Township
Cat
Cat Square
Chanakyapuri
Chanakyapuri Or Kesar Bagh Bridge
Chandan Nagar
Chandralok
Chemali Devi
Chhoti Gwaltoli
Chiman Bagh
Chitawad
Chitragupta Square/ Star Square
Choithram Chouraha
Choithram Hospital
Choithram Mandi
Chota Bangarda
Chowthi-Paltan
City Bus Depo
City Center
Collectorate
Cristian Eminent
D A V V Campus
D.R.P.Line
Dakachya
Dargah
Dussehra Maidan
Dashrath Bagh Colony
Dastur Garden
Datta Nagar
Dawa Bazaar
DB City
Deepmala Dhaba
Deoguradiya Temple
Dewas Naka
Damru Ustad
Dhanwantri Nagar
D-Mart
Dravid Nagar
Durga Nagar
Dwarka Puri Or Bhagwati Dwar
Electronics Complex
Emerald Heights
Exlence-School
Fortune Landmark Hotel
Futi Kothi
G.D.C. College
G.P.O.
G.S.I.T.S. Square
Gadbadi Bridge
Gamle Wali Puliya
Gandhi Hall
Gandhi Hall Or Palika Plaza
Gandhi Nagar
Ganesh Bagh Square
Ganesh Mandir
Gangwal Bus Stand
Garib Nawaj
Gaytri Mandir
Girdhar Mahal
Gomatgiri Power House
Gommat Giri
Gopur Square
Gouri Nagar
Goverment College RAU
Gram Pipliyahana
Grampanchayat Rangwasa
Gumasta Nagar
Gumasta Nagar Or Sudama Nagar Or Arihant
Guran
Gurudwara
Gurukul Colony
Haji/Kamal/Rockwood
Hammal Colony
Hanuman Mandir
Hanuman Mandir Or Tilak Nagar
Hatod Hospital
Hatod Village
Hawa Bangla
High Court
Hira Nagar
HP Gas Plant
IET College
IIM College Square
IIT Simrol 
Imli Bazar
Indian Oil Petrol Pump
Indo German Chouraha
Indore Railway Station
Indore Wire
Indraprastha Garden
Indraprastha Tower
Industry House
IPS Academy
Isha Avenue
IT Park
Jain Nursery
Jairam Toll Kata
Jamodi Mod
Janjeerwala
Jinsi Chauraha
Juni Indore
Kadwa
Kalani Nagar
Kalindi Bypass
Kalindi Mid Town
Kandilpura
Kankad
Kankeshwari Devi Mandir Dham
Kasturba
Kelod Kartal
Kesherbagh Bridge
Khade Ganpati Square
Khajrana Chouraha
Khajrana Ganesh Mandir
Khajrana Ringroad
Khakrod
Kharcha
Kila Maidan
Kila Maidan Or Laxmibai Pratima
Kishan Pura
Knad
Kothari Market
Krishi College
Krishna Kunj Gate
Krishna Nagar
Krishnapura Pull
Kshipra
Kudana
Kudana Bypass
Kumar Khadi
L.I.G
Lakhani Bypass
Lal Bagh
Lantern Chowk
Lasudia
Lavkush Chouraha
