direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,block_id,wheelchair_accessible
1,1003,1,,Teen Imli,1003115,E4 19:07 to Teen Imli,,
0,1003,1,,Shiv City,1003114,E4 17:55 to Shiv City,,
1,1003,1,,Teen Imli,1003113,E4 16:57 to Teen Imli,,
0,1003,1,,Shiv City,1003112,E4 15:45 to Shiv City,,
1,1003,1,,Teen Imli,1003111,E4 14:47 to Teen Imli,,
0,1003,1,,Shiv City,1003110,E4 13:35 to Shiv City,,
1,1003,1,,Teen Imli,1003109,E4 12:37 to Teen Imli,,
0,1003,1,,Shiv City,1003108,E4 11:25 to Shiv City,,
1,1003,1,,Teen Imli,1003107,E4 10:27 to Teen Imli,,
0,1003,1,,Shiv City,1003106,E4 09:15 to Shiv City,,
1,1003,1,,Teen Imli,1003105,E4 08:17 to Teen Imli,,
0,1003,1,,Shiv City,1003104,E4 07:05 to Shiv City,,
1,1003,1,,Teen Imli,1003103,E4 19:46 to Teen Imli,,
0,1003,1,,Shiv City,1003102,E4 18:34 to Shiv City,,
1,1003,1,,Teen Imli,1003101,E4 17:36 to Teen Imli,,
0,1003,1,,Shiv City,1003100,E4 16:24 to Shiv City,,
1,1003,1,,Teen Imli,1003099,E4 15:26 to Teen Imli,,
0,1003,1,,Shiv City,1003098,E4 14:14 to Shiv City,,
1,1003,1,,Teen Imli,1003097,E4 13:16 to Teen Imli,,
0,1003,1,,Shiv City,1003096,E4 12:04 to Shiv City,,
1,1003,1,,Teen Imli,1003095,E4 11:06 to Teen Imli,,
0,1003,1,,Shiv City,1003094,E4 09:54 to Shiv City,,
1,1003,1,,Teen Imli,1003093,E4 08:56 to Teen Imli,,
0,1003,1,,Shiv City,1003092,E4 07:44 to Shiv City,,
0,1003,1,,Shiv City,1003091,E4 18:21 to Shiv City,,
1,1003,1,,Teen Imli,1003090,E4 17:23 to Teen Imli,,
0,1003,1,,Shiv City,1003089,E4 16:11 to Shiv City,,
1,1003,1,,Teen Imli,1003088,E4 15:13 to Teen Imli,,
0,1003,1,,Shiv City,1003087,E4 14:01 to Shiv City,,
1,1003,1,,Teen Imli,1003086,E4 13:03 to Teen Imli,,
0,1003,1,,Shiv City,1003085,E4 11:51 to Shiv City,,
1,1003,1,,Teen Imli,1003084,E4 10:53 to Teen Imli,,
0,1003,1,,Shiv City,1003083,E4 09:41 to Shiv City,,
1,1003,1,,Teen Imli,1003082,E4 08:43 to Teen Imli,,
0,1003,1,,Shiv City,1003081,E4 07:31 to Shiv City,,
1,1003,1,,Teen Imli,1003080,E4 19:20 to Teen Imli,,
0,1003,1,,Shiv City,1003079,E4 17:10 to Shiv City,,
0,1003,1,,Shiv City,1003078,E4 15:58 to Shiv City,,
1,1003,1,,Teen Imli,1003077,E4 15:00 to Teen Imli,,
0,1003,1,,Shiv City,1003076,E4 13:48 to Shiv City,,
1,1003,1,,Teen Imli,1003075,E4 12:50 to Teen Imli,,
0,1003,1,,Shiv City,1003074,E4 11:38 to Shiv City,,
1,1003,1,,Teen Imli,1003073,E4 10:40 to Teen Imli,,
0,1003,1,,Shiv City,1003072,E4 09:28 to Shiv City,,
1,1003,1,,Teen Imli,1003071,E4 08:30 to Teen Imli,,
0,1003,1,,Shiv City,1003070,E4 07:18 to Shiv City,,
1,1003,1,,Teen Imli,1003069,E4 18:54 to Teen Imli,,
0,1003,1,,Shiv City,1003068,E4 17:42 to Shiv City,,
1,1003,1,,Teen Imli,1003067,E4 16:44 to Teen Imli,,
0,1003,1,,Shiv City,1003066,E4 15:32 to Shiv City,,
1,1003,1,,Teen Imli,1003065,E4 14:34 to Teen Imli,,
0,1003,1,,Shiv City,1003064,E4 13:32 to Shiv City,,
1,1003,1,,Teen Imli,1003063,E4 12:24 to Teen Imli,,
0,1003,1,,Shiv City,1003062,E4 11:12 to Shiv City,,
1,1003,1,,Teen Imli,1003061,E4 10:14 to Teen Imli,,
0,1003,1,,Shiv City,1003060,E4 09:02 to Shiv City,,
1,1003,1,,Teen Imli,1003059,E4 08:04 to Teen Imli,,
0,1003,1,,Shiv City,1003058,E4 06:52 to Shiv City,,
0,1003,1,,Shiv City,1003057,E4 17:29 to Shiv City,,
1,1003,1,,Teen Imli,1003056,E4 16:31 to Teen Imli,,
0,1003,1,,Shiv City,1003055,E4 15:19 to Shiv City,,
1,1003,1,,Teen Imli,1003054,E4 14:21 to Teen Imli,,
0,1003,1,,Shiv City,1003053,E4 13:09 to Shiv City,,
1,1003,1,,Teen Imli,1003052,E4 12:11 to Teen Imli,,
0,1003,1,,Shiv City,1003051,E4 10:59 to Shiv City,,
1,1003,1,,Teen Imli,1003050,E4 10:01 to Teen Imli,,
0,1003,1,,Shiv City,1003049,E4 08:49 to Shiv City,,
1,1003,1,,Teen Imli,1003048,E4 07:51 to Teen Imli,,
0,1003,1,,Shiv City,1003047,E4 06:39 to Shiv City,,
0,1003,1,,Shiv City,1003046,E4 19:26 to Shiv City,,
1,1003,1,,Teen Imli,1003045,E4 18:28 to Teen Imli,,
0,1003,1,,Shiv City,1003044,E4 17:16 to Shiv City,,
1,1003,1,,Teen Imli,1003043,E4 16:18 to Teen Imli,,
0,1003,1,,Teen Imli,1003042,E4 15:06 to Teen Imli,,
